,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,recno_2,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
75,1227,846,,,99,9.69,16.08,,4.13,20.21,9.5449982943955,3.5,M4.5(H),2.58,-0.6,1.67,0.15,5.26,Simbad,05 35 30.03,-05 14 18.42,1,347,V2486 Ori,M4.5,1,H,3020,-0.714,0.16,0.07,0.1,1.7,1.68,1,1.61,0.32,5.46,opt,H02,,,g,Simbad,83.87562,-5.2385,1.7836628200723,0.181716750643072,0.0791312828659902
76,1228,848,,,99,4.24,13.8,,2.73,16.53,8.39499929439551,3.518,M3.5(H),0.05,-0.4,1.95,0.2,5.26,Simbad,05 35 30.17,-05 25 51.32,1,276,V1554 Ori,M3.5,1,H,3260,-0.482,0.25,0.06,0.1,1.5,1.1,0.7,1.8,0.34,4.94,opt,H02,,N,g,Simbad,83.87617,-5.431,1.67806437500884,0.291560594567312,0.0791312828659902
77,1231,850,,2077,99,4.15,13.41,,2.14,15.55,6.3649982943955,3.591,K8e(H),1.1,-0.11,1.94,0.4,5.76,Simbad,05 35 30.31,-05 25 38.32,1,74,V1348 Ori,K8e,1,H,3940,-0.206,0.64,0.06,0.07,2.3,0.8,1.1,1.7,0.2,7.78,opt,E93,2,A,,Simbad,83.87676,-5.42739,1.70229903501117,0.532247905352299,0.0791312828659902
78,1232,853,,,99,5.94,16.04,,3.13,19.170002,10.0050002943955,3.518,M3.5(H),1.08,-1.04,0.93,0.18,6.33,Simbad,05 35 30.34,-05 28 11.02,1,397,V2488 Ori,M4.5,1,H13,3020,-1.322,0.11,0.05,0.09,4.7,1.7,4.3,0.8,0.16,3.9,opt,H02,,,g,Simbad,83.87688,-5.46978,1.67101431417141,0.157369109550453,0.0791312828659902
79,1235,855,,,99,6.21,14.05,,2.34,16.39,8.0249972943955,3.544,M2.5(H)M1.8(P),0.28,-0.51,1.51,0.3,5.97,Simbad,05 35 30.39,-05 28 30.22,1,199,V1292 Ori,M2.5,1,H,3425,-0.672,0.31,0.06,0.09,2.6,0.6,1.7,1.31,0.2,7.08,opt,H02,2,,,Simbad,83.87704,-5.47517,1.53797924707316,0.327305593140024,0.0791312828659902
80,1238,851,,,99,8.84,15.69,,,,,,,,,,,,Simbad,05 35 30.52,-05 15 16.12,1,542,2MASS J05353063-0515162,M5.5,1,H13,2840,,,,,,,,,,2.59,opt,R09,,,c,Simbad,83.87765,-5.25451,1.73656672381678,,0
81,1239,860,,,99,5.26,13.93,,2.91,16.84,8.2449982943955,3.518,M3.5(H)M3.7(P)M4:(Eetal),0.51,-0.33,2.09,0.2,5.1,Simbad,05 35 30.56,-05 27 16.42,1,251,V1293 Ori,M3.5,1,H,3260,-0.421,0.27,0.09,0.09,1.4,1.2,0.5,1.93,0.36,6.33,opt,H02,,N,g,Simbad,83.87776,-5.45465,1.56217084705933,0.306259066110909,0.0791312828659902
82,1242,859,,,99,3.73,14.98,,,,,3.494,M5(H),0,-0.75,1.44,0.14,5.37,Simbad,05 35 30.61,-05 24 30.92,1,501,2MASS J05353071-0524312,M3,1,H13,3360,,,,,,,,,,1.38,opt,R09,3,A,c,Simbad,83.87797,-5.40867,1.56265878341662,,0
83,1243,863,,,99,8.06,14.04,,2.62,16.66,8.5749982943955,3.518,M3.5(H),0,-0.5,1.72,0.21,5.75,Simbad,05 35 30.70,-05 30 35.82,1,332,V1555 Ori,M4.5,1,H13,3020,-0.572,0.18,0.08,0.08,0.7,0.62,1.5,1.89,0.37,7.91,opt,H00,2,,,Simbad,83.87833,-5.51006,1.53314908921977,0.273378781529591,0.0791312828659902
84,1245,3092,,,,4.13,14.27,,1.97,16.24,,,,,,,,,Simbad,05 35 30.83,-05 25 23.19,1,280,2MASS J05353092-0525236,M3.5,1,H13,3260,-0.732,0.24,0.09,0.11,2.5,1.1,1.6,1.35,0.25,0.65,opt,R09,,,g,Simbad,83.87885,-5.42323,1.47043724046868,,0
85,1246,865,,,99,4.31,14.34,,3.6,17.94,9.0249982943955,3.494,M5(H),0.83,-0.29,2.45,0.15,4.35,Simbad,05 35 30.85,-05 25 43.72,1,375,JW 865,M5,1,H,2880,-0.459,0.13,0.04,0.1,0.1,0.07,1.3,2.37,0.53,1.58,opt,R09,,N,g,Simbad,83.87901,-5.42888,1.6966602590373,0.227870533391143,0.0791312828659902
86,1247,862,,,99,5.88,15.46,,3.8,19.26,11.1749982943955,3.471,M6e(H),0,-0.77,1.57,0.11,4.77,Simbad,05 35 30.91,-05 18 45.02,1,568,V2495 Ori,M6e,1,H,2800,-0.944,,,,,,,1.43,0.22,3.49,opt,H02,3,A,b,Simbad,83.87927,-5.31258,1.73542147105235,0.111320017457045,0.0791312828659902
87,1249,864,,,99,11.51,14.45,,2.46,16.91,8.8249982943955,3.526,M3(H),0,-0.7,1.33,0.23,6.09,Simbad,05 35 31.09,-05 12 27.82,1,244,V1557 Ori,M3,1,H,3360,-0.824,0.28,0.08,0.09,3.5,1,2.6,1.14,0.19,3.7,opt,H02,3,,,Simbad,83.88,-5.20779,1.65838658413651,0.248059280026711,0.0791312828659902
88,1253,866,,2073,98,8.65,11.82,,2.13,13.95,2.7749982943955,3.708,K1IV(Ham),3.09,0.99,3.98,1.95,5.7,Simbad,05 35 31.18,-05 15 32.92,1,16,V1294 Ori,K3,1,StE,4550,0.83,1.6,0.41,0.57,0.6,0.2,0.6,4.18,0.63,6.76,opt,H00,3,,,Simbad,83.8804,-5.25919,1.7404191810649,,0
89,1258,872,,,99,6.15,15.18,,3.24,18.42,10.3349982943955,3.494,M5(H),0,-0.83,1.32,0.13,5.56,Simbad,05 35 31.30,-05 28 16.12,1,486,V1559 Ori,M5.5,1,H13,2840,-0.904,,,,,,,1.46,0.25,4.19,opt,H00,2,,b,Simbad,83.88088,-5.47121,1.67708906151151,0.143962230285542,0.0791312828659902
90,1260,870,,,,7.74,15.18,,2.47,17.65,,,,,,,,,Simbad,05 35 31.44,-05 16 36.52,1,314,2MASS J05353156-0516369,M3.5e,1,H13,3260,-1.096,0.21,0.09,0.12,5.1,1.8,5.4,0.89,0.17,3.83,opt,R09,2,,,Simbad,83.88151,-5.27693,1.87764964661838,,0
91,1264,878,,,99,7.69,14.44,,3.74,18.18,10.0949982943955,3.471,M6(H),0,-0.36,2.51,0.14,4.32,Simbad,05 35 31.58,-05 30 03.82,1,404,V1561 Ori,M6.5,1,H13,2725,-0.48,0.11,0.02,0.02,0.07,0.04,0.03,2.59,0.37,5.54,opt,H02,2,,,Simbad,83.88202,-5.50114,1.59032375215923,0.153474293974209,0.0791312828659902
92,1265,875,,,99,7.72,15.88,,,,,,,,,,,,Simbad,05 35 31.64,-05 16 39.82,1,553,2MASS J05353175-0516399,M5.5e,1,H13,2840,,,,,,,,,,5.18,opt,R09,,,c,Simbad,83.8823,-5.27775,1.67478943881834,,0
93,1267,880,,,99,7.27,14.17,,2.74,16.91,8.8249982943955,3.509,M4(H),0,-0.51,1.77,0.18,5.31,Simbad,05 35 31.69,-05 29 33.72,1,315,V1562 Ori,M4,1,H13,3160,-0.672,0.21,0.09,0.13,2.2,2,0.9,1.54,0.32,1.58,opt,H02,3,,,Simbad,83.88245,-5.4928,1.50688461059916,0.248059280026711,0.0791312828659902
94,1269,5156,,,,9.25,17.02,,,,,,,,,,,,Simbad,05 35 31.84,-05 31 47.30,1,519,V2508 Ori,M8,1,H13,2570,,,,,,,,,,4.36,opt,H02,2,,c,Simbad,83.88307,-5.52994,1.52413318127663,,0
95,1278,884,,,99,9.81,14.91,,3.44,18.35,,,,,,,,,Simbad,05 35 32.30,-05 14 24.52,1,158,2MASS J05353242-0514247,M2.25,1,H13,3457.5,-0.323,0.36,0.09,0.06,1.4,0.3,0.3,1.92,0.28,2.7,opt,R09,,,g,Simbad,83.88509,-5.24022,1.8366296669527,,0
96,1279,885,,,,9.17,16.33,,1.54,17.869999,,,,,,,,,Simbad,05 35 32.32,-05 15 06.52,1,488,V2516 Ori,M0.5,1,H13,3700,-1.616,,,,,,,0.38,0.05,9.1,opt,R09,2,,b,Simbad,83.88518,-5.25192,1.88152986067963,,0
97,1284,891,,,99,7.04,15.84,,3.11,18.95,8.19499829439551,3.555,M0-M3(H),2.67,-0.66,1.21,0.37,6.29,Simbad,05 35 32.69,-05 17 38.22,1,162,2MASS J05353280-0517384,M1.5,2,H,3560,-0.836,0.36,0.12,0.26,5.5,2.5,12.5,1.01,0.21,1.04,opt,H02,3,,,Simbad,83.8867,-5.29402,1.78037455178551,0.311018800427186,0.0791312828659902
98,1287,892,,,99,8.36,13.99,,2.22,16.21,6.1249972943955,3.623,late-K:(H),2,-0.13,1.63,0.65,6.14,Simbad,05 35 32.80,-05 16 05.02,1,59,2MASS J05353291-0516052,K7,3,H,3970,-0.319,0.69,0.27,0.34,3.8,2.3,8.7,1.46,0.31,8.56,opt,E93,3,,,Simbad,83.88715,-5.26812,1.74557176224865,0.574737051116902,0.0791312828659902
99,1288,894,,,99,7.14,14.65,,3.3,17.949999,,,,,,,,,Simbad,05 35 33.00,-05 17 33.82,1,386,2MASS J05353311-0517340,M5,1,H13,2880,-0.764,0.12,0.05,0.09,0.3,0.15,2.4,1.67,0.38,8.66,opt,H02,,,g,Simbad,83.88796,-5.29278,1.65962202064089,,0
100,1291,5076,,,,5.4,17.13,,3.62,20.75,7.77499929439551,3.591,K7-M0(H),4.89,-0.67,1.02,0.66,6.87,Simbad,05 35 33.15,-05 19 57.46,1,69,V2524 Ori,K8.5,2,H,3910,-0.806,0.65,0.19,0.09,18.5,10.8,26.5,0.86,0.13,6.99,opt,R09,,,a,Simbad,83.8885,-5.33271,1.37636263426775,0.350957185590956,0.0791312828659902
101,1292,896,,,99,9.06,15.72,,,,,,,,,,,,Simbad,05 35 33.47,-05 15 23.12,1,461,V2527 Ori,M1.8,1,D10,3518,,,,,,,,,,6.29,NIR,C01,,,c,Simbad,83.88997,-5.25645,1.83697761374422,,0
102,1296,900,,,99,15.6,14.62,,2.78,17.4,9.1349982943955,3.518,M3.5(H),0.18,-0.69,1.39,0.2,6.05,Simbad,05 35 33.79,-05 38 21.22,1,277,V804 Ori,M3.5,1,H,3260,-0.778,0.25,0.1,0.09,2.8,0.9,1.9,1.28,0.24,5.32,opt,H02,3,,,Simbad,83.89104,-5.63908,1.03660160446313,0.216566269262225,0.0791312828659902
103,1298,904,,,99,10.93,16.77,,3.76,20.53,7.8749992943955,3.562,M1(H),4.57,-0.57,1.3,0.4,6.24,Simbad,05 35 34.20,-05 33 21.32,1,128,V2532 Ori,M1,1,H,3630,-0.754,0.41,0.07,0.11,5.4,2.1,4.3,1.06,0.15,3.01,opt,R09,2,,,Simbad,83.89287,-5.556,1.35498817000937,0.341273181993836,0.0791312828659902
104,1299,902,,,84,5.74,15.32,,,,,,,,,,,,Simbad,05 35 34.26,-05 26 59.32,1,548,2MASS J05353437-0526596,M7,1,H13,2650,,,,,,,,,,3.21,opt,R09,,,c,Simbad,83.89324,-5.44992,1.79924758717535,,0
105,1301,3002,,,,11.19,15.87,,3.32,19.19,,,,,,,,,Simbad,05 35 34.41,-05 13 07.60,1,470,2MASS J05353449-0513077,M6,1,H13,2800,-1.108,,,,,,,1.19,0.19,1.41,opt,H02,3,,b,Simbad,83.89375,-5.21881,1.34939890108034,,0
106,1302,903,,,99,8.76,15.59,,,,,,,,,,,,Simbad,05 35 34.50,-05 15 52.62,1,444,2MASS J05353461-0515528,M4.3,1,D10,3076,,,,,,,,,,,,,,,"c,f",Simbad,83.89425,-5.26467,1.80266076673994,,0
107,1303,905,,,99,5.96,16.33,,,,,,,,,,,,Simbad,05 35 34.54,-05 27 14.82,1,421,2MASS J05353464-0527151,M4.7,1,D10,2964,,,,,,,,,,0.43,opt,R09,3,,c,Simbad,83.89437,-5.45421,1.65899294475467,,0
108,1304,906,,,99,12.14,14.17,,2.45,16.62,8.53499829439551,3.526,M3(H),0,-0.58,1.51,0.23,5.98,Simbad,05 35 34.61,-05 34 38.02,1,234,V2539 Ori,M3,1,H,3360,-0.712,0.29,0.09,0.09,2.7,0.6,1.8,1.3,0.22,10.66,opt,H02,2,N,,Simbad,83.89452,-5.57725,1.11955049742133,0.277147163534309,0.0791312828659902
109,1306,910,,,99,6.49,15.89,,3.52,19.41,8.4049982943955,3.535,M2.5(H),2.92,-0.59,1.45,0.27,6.02,Simbad,05 35 35.01,-05 27 54.42,1,160,2MASS J05353512-0527548,M2,1,H13,3490,-0.638,0.36,0.07,0.06,3,1,1.3,1.31,0.18,1.37,opt,R09,3,N,,Simbad,83.89633,-5.46524,1.68992385265691,0.290270564897886,0.0791312828659902
110,1308,913,,,98,11.43,16.96,,1.59,18.55,9.1849972943955,3.679,K1-K5e(H),1.28,-1.52,0.26,,,Simbad,05 35 35.05,-05 33 49.02,1,581,V2542 Ori,K3,2,H,4550,-1.563,,,,,,,0.27,0.06,9.56,opt,H02,2,A,b,Simbad,83.89642,-5.56367,1.36911335876945,0.211564128692519,0.0791312828659902
111,1313,914,,,99,9.02,13.18,,2.09,15.27,7.12499829439551,3.555,M1-M2(H)M3(Eetal),0.06,-0.23,1.98,0.28,5.7,Simbad,05 35 35.49,-05 15 43.12,1,146,V425 Ori,M1.5,1,H,3560,-0.34,0.38,0.06,0.08,1.5,0.3,0.7,1.78,0.25,7.71,opt,E93,,,g,Simbad,83.89836,-5.26201,1.74250731220154,0.41903679471549,0.0791312828659902
112,1315,918,,,97,16.48,15.1,,2.41,17.51,,,,,,,,,Simbad,05 35 35.55,-05 39 09.02,2,259,V2547 Ori,M3,1,H13,3360,-1.084,0.26,0.08,0.1,6.8,2.9,5.7,0.85,0.14,0.76,opt,R09,2,,,Simbad,83.89834,-5.65227,1.14558651376494,,0
113,1325,923,,2123,98,11.9,13.16,,2.12,15.28,6.8249982943955,3.562,M1(H),0.37,-0.15,2.11,0.29,5.59,Simbad,05 35 36.36,-05 34 11.02,1,116,V568 Ori,M1,1,H,3630,-0.334,0.43,0.08,0.09,1.7,0.4,0.9,1.72,0.24,1.15,opt,H02,2,,,Simbad,83.90184,-5.56976,1.22373158502546,0.461031658828914,0.0791312828659902
114,1326,3049,,,,5.95,16.49,,,,,,,,,,,,Simbad,05 35 36.41,-05 20 09.04,1,559,2MASS J05353650-0520094,M3.5,1,H13,3260,,,,,,,,,,9.87,MIR,M11,,,c,Simbad,83.90209,-5.33596,1.42989709103272,,0
115,1331,927,,,99,15.28,13.96,,2.29,16.25,8.1649982943955,3.509,M4(H),0,-0.43,1.95,0.18,5.1,Simbad,05 35 36.73,-05 37 46.92,1,309,2MASS J05353679-0537464,M4,1,H,3160,-0.588,0.22,0.08,0.11,1.9,1.7,0.7,1.69,0.35,1.99,opt,R09,,,g,Simbad,83.90329,-5.62958,0.989024175595116,0.313638088340343,0.0791312828659902
116,1332,925,,,93,13.88,13.92,,2.45,16.37,,,,,,,,,Simbad,05 35 37.05,-05 10 29.32,1,248,V1569 Ori,M3,1,Sta,3360,-0.612,0.28,0.06,0.1,2.1,0.4,1.2,1.46,0.24,4.71,opt,S99,,,g,Simbad,83.90484,-5.17487,1.68060196496835,,0
117,1334,930,,,99,6.55,14.08,,2.56,16.64,5.68499779439551,3.623,K5-K7(H),2.87,0.04,2,0.57,5.82,Simbad,05 35 37.47,-05 27 16.12,1,284,V1350 Ori,M3.5,1,H13,3260,-0.656,0.24,0.08,0.12,2.2,1.4,1.2,1.47,0.28,2.88,opt,H00,3,N,,Simbad,83.90658,-5.45458,1.6715935800375,0.67577241430765,0.0791312828659902
118,1335,929,,,99,6.41,15.86,,3.82,19.68,10.9749982943955,3.483,M5.5(H),0.62,-0.88,1.32,0.11,5.25,Simbad,05 35 37.49,-05 19 44.02,1,561,2MASS J05353761-0519441,M5.5,1,H,2840,-1.107,,,,,,,1.16,0.2,0.81,opt,H02,3,,b,Simbad,83.90672,-5.32894,1.8413566393842,0.119259891045578,0.0791312828659902
119,1336,933,,,98,7.33,13.65,,2.48,16.13,8.0449982943955,3.509,M4(H),0,-0.31,2.25,0.17,4.73,Simbad,05 35 37.93,-05 28 21.12,1,305,V1571 Ori,M4,1,H,3160,-0.464,0.23,0.09,0.11,1.3,1.2,0.6,1.95,0.41,5.98,opt,H00,2,,,Simbad,83.90847,-5.47265,1.59139479345938,0.325069475465357,0.0791312828659902
120,1338,934,,,99,7.48,15.76,,2.81,18.57,9.8149982943955,3.526,M3e(H),0.67,-1.06,0.88,0.21,6.44,Simbad,05 35 38.02,-05 28 33.22,1,278,2MASS J05353812-0528336,M3e,1,H,3360,-1.142,0.25,0.08,0.1,7.6,3.2,6.9,0.79,0.13,2.51,opt,R09,2,A,,Simbad,83.90885,-5.476,1.5986989932975,0.165273723656101,0.0791312828659902
121,1340,936,,,99,7.54,14.81,,2.98,17.79,9.01499829439551,3.518,M3.5(H),0.69,-0.64,1.47,0.2,6.02,Simbad,05 35 38.24,-05 28 34.32,1,291,2MASS J05353834-0528346,M3.5,1,H,3260,-0.73,0.24,0.09,0.11,2.5,1.1,1.6,1.35,0.25,9.98,opt,R09,2,,,Simbad,83.90979,-5.47629,1.66826164636388,0.228662074554517,0.0791312828659902
122,1344,938,,2144,99,12.05,12.59,,2.7,15.29,2.8449982943955,3.695,K2(H),4.36,0.99,4.23,1.55,5.5,Simbad,05 35 38.74,-05 12 41.72,1,9,V426 Ori,K2,1,H,4760,0.935,2.26,0.57,0.34,0.9,0.4,0.7,4.31,0.62,5.15,opt,H02,2,N,a,Simbad,83.9119,-5.21166,1.75161510766643,,0
123,1346,941,,,99,6.09,15.53,,3.42,18.95,6.9049992943955,3.571,K8-M0.5(H),3.96,-0.24,1.83,0.35,5.8,Simbad,05 35 38.89,-05 21 01.62,1,84,2MASS J05353901-0521017,K9,2,H,3880,-0.32,0.59,0.15,0.31,2.8,1.3,4.9,1.53,0.26,1.69,opt,R09,3,N,,Simbad,83.91255,-5.35048,1.82522463022699,0.45019122823106,0.0791312828659902
124,1348,942,,,99,6.36,16.36,,3.42,19.78,9.4549982943955,3.526,M3(H),2.24,-0.92,1.03,0.22,6.28,Simbad,05 35 38.96,-05 20 25.62,1,264,2MASS J05353907-0520257,M3,1,H,3360,-1.001,0.26,0.08,0.1,5.3,1.9,4.5,0.93,0.16,4.51,MIR,M11,3,,,Simbad,83.91282,-5.34049,1.75032844438866,0.188432694046775,0.0791312828659902
125,1350,3012,,,,9.55,15.96,,3.86,19.82,,,,,,,,,Simbad,05 35 39.75,-05 15 49.02,1,492,2MASS J05353984-0515493,M5.5,1,H13,2840,-1.122,,,,,,,1.14,0.2,0.76,opt,R09,,,b,Simbad,83.916,-5.26369,1.36998459437812,,0
126,1358,952,,,99,10.58,13.86,,2.66,16.52,,,,,,,,,Simbad,05 35 40.74,-05 32 01.62,1,249,2MASS J05354082-0532018,M3.6,1,D10,3240,-0.564,0.27,0.1,0.09,1.9,1.4,0.6,1.65,0.32,2.57,opt,H02,3,,,Simbad,83.92012,-5.53386,1.35421593861518,,0
127,1360,955,,,98,16.35,14.9,,,,,,,,,,,,Simbad,05 35 41.18,-05 38 30.32,1,514,2MASS J05354123-0538294,M5,1,H13,2880,,,,,,,,,,2.58,opt,R09,2,,c,Simbad,83.9218,-5.64152,1.14961922631647,,0
128,1363,956,,,98,16.41,14.8,,,,,,,,,,,,Simbad,05 35 41.26,-05 38 33.72,1,511,2MASS J05354130-0538329,M4.5,1,H13,3020,,,,,,,,,,0.73,opt,R09,2,,c,Simbad,83.92209,-5.64249,0.97833928725492,,0
129,1366,957,,,99,14.65,14.38,,3.7,18.08,4.89499829439551,3.591,K6-K8(H),5.1,0.48,3.82,0.18,3.85,Simbad,05 35 41.89,-05 10 11.22,1,78,V2573 Ori,K7,2,H,3970,0.449,0.63,0.13,0.26,0.5,0.3,0.2,3.54,0.51,8.21,MIR,M11,2,N,,Simbad,83.92506,-5.16986,1.87879227461967,0.910077056047289,0.0791312828659902
130,1367,3001,,,,12.19,15.74,,3.87,19.61,,,,,,,,,Simbad,05 35 41.95,-05 12 59.64,1,495,2MASS J05354205-0512595,M5.5,1,H13,2840,-1.028,,,,,,,1.27,0.22,3.24,opt,R09,,,b,Simbad,83.92525,-5.21653,1.64845943095854,,0
131,1370,962,,2175,99,7.71,13.26,,1.97,15.2300005,5.79499829439551,3.623,K6(H),1.35,0,1.9,0.58,5.89,Simbad,05 35 42.37,-05 27 32.72,1,55,OQ Ori,K6,1,H,4020,-0.114,0.71,0.1,0.14,2.1,0.7,1.5,1.81,0.23,9.56,opt,H02,,N,g,Simbad,83.92698,-5.45918,1.60472138057299,0.647126980751078,0.0791312828659902
132,1371,966,,,99,12.31,16.12,,3.71,19.830002,9.69500129439551,3.509,M4(H),2.05,-0.79,1.29,0.17,6.06,Simbad,05 35 42.50,-05 33 48.82,1,471,2MASS J05354257-0533489,M5.5,1,H13,2840,-1.28,,,,,,,0.95,0.16,1.63,opt,R09,3,,b,Simbad,83.92742,-5.56358,1.20820566221049,0.170445147176275,0.0791312828659902
133,1372,964,,,99,7.08,14.65,,3.59,18.24,10.1249982943955,3.483,M5.5(H),0.03,-0.54,1.95,0.13,4.62,Simbad,05 35 42.51,-05 26 08.02,1,371,2MASS J05354261-0526083,M5.5,1,H,2840,-0.692,0.13,0.07,0.04,0.3,0.23,1.2,1.86,0.32,0.7,opt,R09,3,,e,Simbad,83.92758,-5.43566,1.66904297964453,0.152262295145699,0.0791312828659902
134,1374,965,,,99,6.95,15.44,,3.32,18.76,9.1149982943955,3.518,M3.5(H),1.56,-0.68,1.4,0.2,6.05,Simbad,05 35 42.56,-05 25 44.82,1,281,2MASS J05354267-0525450,M3.5,1,H13,3260,-0.769,0.24,0.09,0.11,2.7,0.9,1.9,1.29,0.24,2.12,opt,H02,,,g,Simbad,83.9278,-5.42919,1.69317156621315,0.218729741793815,0.0791312828659902
135,1381,972,,2184,99,11.52,13.31,,2.02,15.33,7.13499829439551,3.562,M1(H),0.11,-0.28,1.83,0.33,5.8,Simbad,05 35 43.32,-05 32 43.92,1,117,V570 Ori,M1,1,H,3630,-0.4,0.43,0.08,0.09,2,0.6,1.2,1.59,0.22,8.07,opt,H02,2,N,,Simbad,83.93082,-5.54558,1.1588505148893,0.417809428454418,0.0791312828659902
136,1382,973,,,99,11.12,15.98,,3.35,19.33,11.0649982943955,3.494,M5(H),0.18,-1.11,0.96,0.12,6.19,Simbad,05 35 43.51,-05 32 11.62,1,586,2MASS J05354359-0532118,M5,1,H,2880,-1.271,,,,,,,0.93,0.21,1.86,opt,R09,,,b,Simbad,83.93167,-5.53661,1.36702306109487,0.115662083156283,0.0791312828659902
137,1394,982,,2200,99,8.67,13.51,,2.12,15.63,7.1749982943955,3.562,M1e(H),0.37,-0.29,1.79,0.33,5.82,Simbad,05 35 45.28,-05 28 10.52,1,159,AP Ori,M1.75,1,H13,3525,-0.466,0.36,0.05,0.09,1.9,0.4,1.1,1.57,0.22,6.94,NIR,C01,2,A,,Simbad,83.93908,-5.46966,1.50318439883664,0.41175813335224,0.0791312828659902
138,1403,989,,,99,9.09,13.68,,2.47,16.15,7.4449982943955,3.544,M2(H),0.62,-0.28,1.97,0.25,5.59,Simbad,05 35 46.11,-05 18 08.32,1,139,V2590 Ori,M1.5,1,H13,3560,-0.372,0.38,0.07,0.09,1.6,0.3,0.8,1.72,0.24,9.71,MIR,M11,2,,,Simbad,83.94265,-5.30237,1.89381594459989,0.382184209661687,0.0791312828659902
139,1408,5175,,,,14.38,17.5,,,,,,,,,,,,Simbad,05 35 46.48,-05 35 38.13,1,537,2MASS J05354658-0535386,M5,1,H13,2880,,,,,,,,,,1.15,opt,R09,,,c,Simbad,83.94412,-5.59406,1.69537959329824,,0
140,1409,990,,,99,7.58,14.05,,2.88,16.93,8.8449982943955,3.5,M4.5(H),0,-0.42,2.07,0.16,4.83,Simbad,05 35 46.50,-05 22 24.12,1,339,2MASS J05354661-0522243,M4.5,1,H,3020,-0.576,0.17,0.07,0.08,0.4,0.32,1.8,1.88,0.37,2.16,opt,H02,3,,,Simbad,83.94422,-5.37342,1.6954709993232,0.246082708083956,0.0791312828659902
141,1412,993,,,99,9.53,14.96,,3.22,18.18,10.0949982943955,3.494,M5(H),0,-0.74,1.46,0.14,5.35,Simbad,05 35 47.12,-05 17 43.32,1,412,2MASS J05354723-0517434,M5,1,H,2880,-0.888,0.1,0.04,0.1,0.3,0.2,2.9,1.45,0.33,2.7,opt,R09,,,g,Simbad,83.94679,-5.29539,1.6391374142956,0.153474293974209,0.0791312828659902
142,1413,995,,2207,98,12.69,12.99,,2.11,15.099999,6.9049982943955,3.555,M1.5(H),0.11,-0.14,2.19,0.26,5.3,Simbad,05 35 47.27,-05 13 18.32,1,135,V1124 Ori,M1.5,1,H,3560,-0.264,0.39,0.09,0.08,1.3,0.2,0.5,1.94,0.27,8.18,opt,S99,3,,,Simbad,83.94746,-5.22183,1.8183629027976,0.45019131518874,0.0791312828659902
143,1415,998,,2209,99,7.76,13.25,,2.32,15.57,7.4849982943955,3.535,M2.5(H),0,-0.24,2.15,0.23,5.17,Simbad,05 35 47.36,-05 22 49.32,1,170,V427 Ori,M2,1,H13,3490,-0.331,0.35,0.06,0.08,1.4,0.2,0.5,1.87,0.26,4.91,opt,H02,3,,,Simbad,83.94782,-5.38042,1.75481617059424,0.378363457249045,0.0791312828659902
144,1420,1002,,,99,16.27,14.57,,3.08,17.65,9.5649982943955,3.471,M6e(H),0,-0.41,2.37,0.14,4.38,Simbad,05 35 47.61,-05 37 39.52,1,416,V2598 Ori,M6e,1,H,2800,-0.588,0.1,0.01,0.07,0.08,0.02,0.42,2.16,0.34,3.94,opt,H02,2,A,,Simbad,83.94854,-5.62745,0.91621128384781,0.180029080637381,0.0791312828659902
145,1423,1004,,,99,11.65,13.75,,2.1,15.85,7.4549982943955,3.562,M1(H),0.31,-0.4,1.58,0.36,5.95,Simbad,05 35 48.08,-05 31 55.62,1,120,V1583 Ori,M1,1,H,3630,-0.576,0.42,0.07,0.1,3.2,1.1,2.3,1.3,0.18,6.53,opt,S99,3,N,,Simbad,83.95067,-5.53214,1.20927584005754,0.381226967026487,0.0791312828659902
146,1431,1012,,,99,12.33,16.25,,3.68,19.93,8.51499829439551,3.535,M2.5(H),3.33,-0.63,1.38,0.27,6.07,Simbad,05 35 49.68,-05 32 29.02,1,474,2MASS J05354975-0532291,M5,1,H13,2880,-1.173,,,,,,,1.04,0.23,2.21,opt,R09,3,,b,Simbad,83.95733,-5.54142,1.18602170096146,0.279228026499353,0.0791312828659902
147,1437,1013,,2234,99,8.67,14.56,,2.3,16.86,8.7749982943955,3.526,M3e(H),0,-0.74,1.26,0.23,6.13,Simbad,05 35 50.07,-05 21 16.72,1,257,V364 Ori,M3e,1,H,3360,-0.868,0.27,0.07,0.1,3.8,1.1,2.9,1.09,0.18,2,opt,R09,2,A,,Simbad,83.95911,-5.35472,1.75953151195841,0.253151865397123,0.0791312828659902
148,1442,1018,,,99,13.07,15.34,,3.03,18.37,10.2849982943955,3.483,M5.5(H),0,-0.82,1.41,0.11,5.15,Simbad,05 35 50.86,-05 33 12.75,1,589,2MASS J05355096-0533133,M5.5,1,H,2840,-0.968,,,,,,,1.36,0.23,2.5,opt,R09,,,b,Simbad,83.96233,-5.55369,1.57434517246828,0.146040050749978,0.0791312828659902
